T 階段,功能 ID,功能名稱,領域,一句話說明,今天的狀態,依賴功能 ID,依賴功能名稱,為何不能更早,做完之後解鎖什麼,前提條件,變現角色,工量,被哪些功能依賴
T3,trip-cloud-sync,行程雲端同步,社交協作,行程存在雲端，手機、平板、朋友的裝置看到的是同一份。,未開始,backend-db | user-accounts | trip-timeline,後端服務與資料庫 | 使用者帳號登入 | 行程時間軸,行程要存到某個帳號名下的某個資料庫，這兩樣都得先存在；現在正本是一個前端狀態，重新整理就沒了。,共編、多人記帳、旅後分享、缺住宿提醒，以及『這趟有幾個人』這個推薦與變現都要用的數字。,衝突處理策略：兩個人同時改同一天誰贏。行程型別已定義完整，可直接落地。,變現前提,L,同行購票提醒 | 缺住宿提醒 | 群組即時同步 | 角色與權限 | 多人記帳同步 | 保護訂位重排 | 行程範本市集 | 旅後行程分享頁 | 離線行程包與鎖屏播放
T3,group-room-backend,雲端共識房,社交協作,四個人各自在自己手機上填偏好、投票，看到的是同一份資料。,未開始,backend-db | user-accounts | live-room-state,後端服務與資料庫 | 使用者帳號登入 | 投票即時生效,要先有存資料的地方、分得出誰是誰的身分，還要先在單機把『寫回去會重算』做對，才有東西可以搬上雲。,共識功能第一次對真人成立；也是邀請、通知、討論串的掛載點。,房間／成員／偏好／投票四張表的結構（現有型別可直接對映）；房間過期與刪除政策。,變現前提,M,群組即時同步 | 角色與權限 | 邀請與加入流程
T3,server-side-attribution,點擊歸因與同意,變現,每次外導在伺服器產生點擊編號，記下是誰、哪趟行程、哪一天，並事先取得追蹤同意。,未開始,outbound-tracking | backend-db | user-accounts | privacy-pdpa | real-deep-links | analytics-pipeline,外導漏斗追蹤 | 後端服務與資料庫 | 使用者帳號登入 | 隱私與個資法遵 | 真實深連結外導 | 事件資料管線,裝置端紀錄換手機就消失，也對不上平台回傳；要知道是誰點的，前提是這個人有身分；要把編號掛上去，前提是連結本身帶得動追蹤碼（real-deep-links）；要收得到這些點擊事件，前提是伺服器有收件端（analytics-pipeline）。,讓『MODEL B 比 MODEL A 有效』從主張變成可驗證數字，也讓佣金能歸因到具體情境；是佣金對帳與 B2B 資料的起點。,追蹤個人行為在個資法下必須有明確告知與同意；同意被拒時降級為匿名彙總而非停止服務。,變現前提,L,佣金回傳對帳 | 同行購票提醒 | 途中情境優惠 | B2B 資料授權
T4,ab-testing,實驗與遠端設定,基礎建設,不用改版就能開關功能、換文案，並比較兩個版本哪個真的有效。,未開始,analytics-pipeline | backend-db,事件資料管線 | 後端服務與資料庫,分流需要伺服器發出的穩定識別，結果需要事件才能判讀。依賴最早在 T3 就滿足，排在 T4 是資源排序而非依賴限制：T3 已有三個 XL，而且樣本數不足時實驗結論只是雜訊。,MODEL B 的核心假設第一次能被隨機分流驗證：在同一群已有行程的使用者中隨機給或不給理由行，比較外導點擊率與每次外導的佣金產值。,"足夠的樣本數（本階的使用者門檻設為 ≥5,000 活躍使用者）。使用者只有數百人時，做訪談比做實驗划算得多。",變現前提,M,
T4,push-notifications,推播通知,基礎建設,出發前一天、行程要改、朋友投完票，手機會主動通知。,未開始,native-app-store | user-accounts | backend-db,原生 App 與商店上架 | 使用者帳號登入 | 後端服務與資料庫,要有 App 才有裝置代碼，要有帳號與資料庫才知道這個代碼是誰、正在走哪一趟的第幾天。,該出發了、下午會下雨、Susan 還沒填偏好——所有不需要使用者先打開 App 的提醒。,推播憑證與服務設定、同意與退訂機制、鎖定畫面一行讀得完的繁中文案。推播額度的套用由本項負責：商業推薦與行程提醒共用同一額度，且商業優先度永遠較低，規則本身由 proactivity-rules 定義。,變現前提,M,
T4,payments,金流與付款,基礎建設,在 App 裡直接付錢。,未開始,backend-db | user-accounts | privacy-pdpa,後端服務與資料庫 | 使用者帳號登入 | 隱私與個資法遵,收錢必須有帳號歸屬、伺服器記帳、隱私政策與服務條款，三者任一缺席都不能上線收費。依賴最早在 T3 滿足，排在 T4 是資源排序：T3 已超載，而且在沒有可收費的東西之前先接金流沒有回報。,訂閱或進階功能可以開始收費；在地商家抽成與未來的站內下單都以它為地板。,金流商合約與統編、負責人身分驗證、發票流程。現階段能收的只有使用者付給 ResoMap 的錢（訂閱、進階功能），不是旅遊商品貨款——ResoMap 沒有自有庫存也沒有代收授權。,直接變現,L,在地商家核銷 | 站內下單與票券
T4,booking-aware-replan,保護訂位重排,旅途中,重排時絕不動已訂好的餐廳、已買場次的門票、已訂的住宿入住時間。,未開始,adapt-auto-trigger | itinerary-editing | trip-cloud-sync,異常自動偵測 | 行程編輯 | 行程雲端同步,引擎現在不知道哪一站是訂好的——停留點型別裡根本沒有這個欄位，也沒有地方存使用者買了什麼。,自動調整才敢真的自動套用，否則每次都得先問過人，主動性永遠打折。,聯盟平台不會回傳訂單明細（除非簽下帶回傳的合約，而今天與五個平台皆無關係），所以務實作法是讓使用者自行標記『這一站我訂了』或匯入訂位信。,變現前提,M,
T4,proactivity-rules,打擾規則設定,旅途中,決定什麼時候可以出聲、什麼時候該閉嘴，而且使用者自己調得動。,未開始,adapt-auto-trigger,異常自動偵測,要先有東西會自動觸發，才會出現『該不該出聲』這個問題；本項只規範 App 內主動提示，推播通道的額度套用由 push-notifications 依同一份規則實作，因此兩者不互為前置。,主動性可以開大而不會被整個關掉；也是商業訊息能否進入主動通道的前提。,明文規則：一天上限幾則、深夜不打擾、同一件事不重複、聽故事或導航時不插話、一鍵全關。商業推薦與行程提醒共用同一額度，且商業優先度永遠較低。,變現前提,M,途中情境優惠
T4,background-location,背景定位,旅途中,手機收進口袋走路時也知道你到哪了，才有辦法在抵達或偏離時主動出聲。,未開始,location-permission | native-app-store,定位權限與藍點 | 原生 App 與商店上架,背景定位在網頁裡不存在，一定要先有原生 App；而系統規定必須先取得前景權限才能升級成背景。,App 沒開著也能觸發抵達提示、遲到偵測、經過時的優惠——是途中情境優惠唯一的地板。,獨立一頁說清楚『只在旅行期間開啟、只用來調整今天行程、不會轉售第三方』；耗電必須用地理圍欄而非持續追蹤；Apple 會特別檢視 Always 權限的正當性。這是全 App 對使用者最大的一次要求，用錯一次前面四階的誠實度資產會一次歸零。,變現前提,L,途中情境優惠
T4,expense-multiuser,多人記帳同步,社交協作,四個人各自記自己付的帳，餘額與結算即時反映。,部分完成,expense-split-engine | trip-cloud-sync,分帳結算引擎 | 行程雲端同步,每一筆都要掛在同一趟共享行程與同一份旅伴名單上，行程還在單機時每個人記的是自己那本帳。,旅費從展示品變成旅途中每天會用的工具，也是旅程結束後最後一個還會被打開的畫面。,外幣與匯率資料源（目前全部寫死台幣）；收據影像若要上傳需儲存與保存期限政策。,留存,M,
T4,realtime-sync,群組即時同步,社交協作,別人改了行程或投了票，你的畫面不用重整就會變，兩人同時改不會蓋掉對方。,未開始,group-room-backend | trip-cloud-sync,雲端共識房 | 行程雲端同步,要同步的前提是有兩份以上的東西可以不同步——房間與行程都得先在雲端且各自有版本可比對。,『一起規劃』從輪流編輯變成真的一起做事，也是分頭行動當天彼此看得到進度的基礎。,即時通道、衝突處理規則、離線後回來的補資料流程。本項是 T4 兩個 XL 之一，應排在 T4 第一波與對帳並行。,留存,XL,
T4,role-permissions,角色與權限,社交協作,誰是主揪、誰只能看、誰可以踢人、退出後他的票怎麼算。,未開始,group-room-backend | trip-cloud-sync,雲端共識房 | 行程雲端同步,權限描述的是『誰對哪份資料能做什麼』，房間與行程不在伺服器上時沒有可被保護的對象。,陌生人也敢用——公司旅遊、社團出遊這種不是四個熟人的場景才能開放連結。,角色表與退出／踢除後的資料歸屬（他付過的帳、投過的票要不要留）。,無,M,
T4,invite-join-flow,邀請與加入流程,社交協作,把連結丟進 LINE 群，朋友點開就能直接投票，不用先下載也不用先註冊。,部分完成,group-room-backend,雲端共識房,邀請的終點是一個真實存在、加得進去的房間；房間還在記憶體裡時，連結沒有東西可以指向。,獲客鏈上第一個真正的成長迴圈——一個人建房、三個人被拉進來，其中有人會自己開下一個房。,LINE 分享設定、可公開存取的投票頁與網域、未註冊者先投票的訪客識別與後續綁定規則。今天邀請連結是死字串，三顆邀請鍵只呼叫建立行程。,變現前提,M,
T4,postback-reconciliation,佣金回傳對帳,變現,接收平台成交通知或月報表，把每筆佣金對回是哪一次點擊帶來的，並處理事後取消扣回。,未開始,server-side-attribution | affiliate-accounts,點擊歸因與同意 | 聯盟帳號申請,沒有點擊編號就沒有東西可對；沒有聯盟帳號就收不到任何回傳。,營收數字第一次變成真的，可以對銀行帳、可以拿給投資人看；也是營收後台唯一的資料來源。,必須為真：平台願意提供成交回傳或至少可下載報表。實務上多數 OTA 聯盟只給報表、不給即時回傳，且有 30–90 天確認期與退訂扣回，流程必須能處理『先入帳後被扣回』。,變現前提,L,營收後台
T4,group-booking-nudge,同行購票提醒,變現,行程知道這趟有四個人，票券入口直接顯示 4 位而不是 1 位。,未開始,trip-cloud-sync | real-deep-links | server-side-attribution,行程雲端同步 | 真實深連結外導 | 點擊歸因與同意,要顯示正確人數得先有共用且旅伴名單是真的行程；要證明它有效得先有歸因記得下這次外導。,同一次點擊的預期價值直接乘上同行人數，是社交領域唯一的直接變現槓桿。,聯盟連結需支援帶入數量參數；文案絕不可寫官方合作／獨家／即時最低價。,直接變現,S,
T4,price-inventory-feed,真實價格與庫存,變現,商品的價格、可訂日期與售完狀態由平台資料來源決定，不再是寫死的數字。,未開始,affiliate-accounts | backend-db,聯盟帳號申請 | 後端服務與資料庫,技術上 T2 就可開始，但這是全清單最可能被平台直接拒絕的一項，應在已有可證明的流量與對帳紀錄之後再申請，成功率才高。排在 T4 是策略排序，不是依賴限制。,比價才敢說是比價，行程裡才敢顯示『這天還有位子』，也才可能往站內下單走。,必須為真：拿到平台商品資料或 API 權限。這通常不是聯盟帳號自動附帶，可能要求月成交量門檻或只開放給已簽約通路。拿不到就維持示意價格並繼續標示不是即時報價，並且 in-app-booking 必須直接放棄。,變現前提,XL,站內下單與票券
T4,stay-gap-booking,缺住宿提醒,變現,行程排好但某一晚沒有落腳處時，在那一天的時間軸上直接說出來並帶出訂房入口。,未開始,context-deal-ranking | real-deep-links | itinerary-generator | trip-cloud-sync,行程情境推薦 | 真實深連結外導 | AI 行程生成 | 行程雲端同步,要讀得懂行程結構才知道哪一晚是空的，而使用者自建的行程要到 T3 生成完成才有內容（itinerary-generator）；要跨裝置讀到同一份行程也要等雲端行程（trip-cloud-sync）；還要先有帶追蹤碼的連結才收得到錢。前一版把這兩個前提漏掉，等於用漏列依賴把同階衝突藏起來。,把單價最高的品類接到最精準的時機上，是 MODEL B 最直接的一次驗證。,行程資料裡已有『這趟還沒訂房』的欄位但沒有任何畫面在用；住宿只有 6 筆示意優惠，要補足才有東西可推。,直接變現,M,
T5,poi-content-freshness,內容時效維護,內容,休館、整修、票價調整、店家歇業能被更新，使用者也能一鍵回報資訊不對。,未開始,content-cms,內容資料庫與後台,沒有後台就沒有能改的地方，也沒有能收回報的收件匣。依賴最早在 T4 滿足，排在 T5 是資源排序：它與內容規模化同批做才有意義。,內容從一次性寫完變成可維運的資產——旅遊內容三個月不維護就開始出錯。,營運巡檢排程、使用者回報處理時限、官方資訊來源。,變現前提,M,
T5,creator-submissions,在地導覽員投稿,內容,在地文史工作者可以投稿自己的景點故事，經審核後上架並署名。,未開始,content-cms | user-accounts | content-licensing,內容資料庫與後台 | 使用者帳號登入 | 內容授權與揭露規範,要有帳號才知道是誰投的、有後台才有審核佇列、有授權範本才敢用別人的稿子與聲音。依賴最早在 T4 滿足，排在 T5 是因為門檻不是工程而是創作者誘因——要有足夠使用量與可分的佣金流水，創作者才覺得值得投。,內容供給第一次不受自家團隊人數限制，是唯一能把覆蓋率推到全台的模式。,投稿授權與分潤條款、審稿人力與退稿標準、抄襲與代寫檢查、署名規範。分潤若來自聯盟佣金，必須先有穩定的佣金流水可分。時程由創作者招募決定，不由工程決定。,變現前提,XL,
T5,story-multilang,多語導覽（英／日）,內容,切到 English 或日本語時真的聽得到、看得到，不是只有中文有內容。,未開始,story-scripts-zh | pro-narration-audio | i18n-infra,中文導覽腳本庫 | 真人配音音檔 | 多語系基礎建設,翻譯要有定稿且查核過的中文稿；外語要能播必須先有配音流程（外語合成語音在多數手機上不存在）；介面也要先能換語言。依賴最早在 T4 滿足，排在 T5 是資源排序：門檻是譯者與配音員預算。,入境旅客市場——這是台灣景點導覽最大的空白，也是跟觀光單位談內容的籌碼。,母語譯者（歷史名詞機翻會出事）、外語配音員、每種語言各自的授權。與 story-coverage-scale 一樣屬編輯部產能，不計入工程容量上限。,變現前提,XL,
T5,story-coverage-scale,故事覆蓋率擴充,內容,從 15 篇擴到行程上大部分的點都有故事可聽，並在後台看得到哪些景點還缺。,未開始,content-cms | story-sourcing-factcheck | content-licensing,內容資料庫與後台 | 史料查核與出處揭露 | 內容授權與揭露規範,要先有後台（不然每篇都要工程部署）、先有查核（不然錯誤跟著放大）、先有授權範本（不然每位撰稿人都要重談）。依賴最早在 T4 滿足；排在 T5 是資源排序，門檻是編輯部人力預算而不是雲端行程或歸因。,『聽景點故事』從 demo 亮點變成產品承諾。,"以目標 300 篇計，每篇撰稿 8 小時＋文史查核 4 小時＋錄音後製 1 小時；以每篇撰稿加查核 NT$6,000 計約 NT$180 萬，以每月 20 篇的產出上限計需 14 個月。這是編輯部的產能問題，時程不由工程決定，effort 應與工程項目分開計，也不計入工程容量上限。",變現前提,XL,
T5,story-engagement-real,真實播放數與收藏,內容,播放次數、喜歡數、我收藏的故事，全部是真的使用者行為而不是寫死的數字。,未開始,backend-db | user-accounts | story-audio-player,後端服務與資料庫 | 使用者帳號登入 | 語音導覽播放器,沒有帳號就分不清誰聽的、收藏存在哪；今天的播放數與喜歡數都是虛構常數。依賴最早在 T3 滿足，排在這裡是資源排序：它與內容規模化同批做才有意義，不是依賴限制。,知道哪些故事真的被聽完、哪些三十秒就被關掉——這是內容品質唯一的回饋迴路。,後端事件儲存，以及一條規範：資料量不足前不顯示數字，不要為了好看而編。,變現前提,L,
T5,import-plan,匯入外部行程,探索與規劃,把 LINE 群訊息、朋友傳的截圖或一篇文章，直接變成可編輯的行程。,未開始,llm-gateway | poi-database-backend | real-trip-dates,LLM 代理層 | 景點資料庫 | 行程真實日期,要把隨手寫的文字變成結構化停留點需要模型；解析出的地名還必須對得到資料庫裡真實存在的景點與日期。依賴最早在 T4 滿足，排在 T5 是資源排序。,使用者不必從零開始，是台灣市場最短的獲客路徑——大多數行程本來就誕生在 LINE 群組。,截圖需文字辨識；地名需別名對照表。擷取他人文章時只能萃取地點與時間這類事實，不可複製原文。,變現前提,L,
T5,trip-templates,行程範本市集,探索與規劃,別人排好的行程可以一鍵複製成自己的，也可以把自己的公開分享。,未開始,trip-cloud-sync | user-accounts,行程雲端同步 | 使用者帳號登入,要複製一份行程，得先有一份存在雲端、有主人的行程可以被複製。依賴最早在 T4 滿足，排在 T5 是資源排序：使用者基數小的時候市集是空的。,內容供給從自製變成使用者自產；新使用者第一分鐘就能有一份像樣的行程，是獲客鏈的一節。,公開內容的審核與檢舉流程；服務條款中取得散布授權。,變現前提,L,
T5,ai-freeform-request,跟 AI 說一句,旅途中,『我們太累了想早點回飯店』打字或說出來，行程直接改好給你看。,部分完成,llm-gateway | adapt-engine | live-routing-eta,LLM 代理層 | 行程調整引擎 | 真實路線與交通時間,今天 7 個情境只有 2 個能動且沒有輸入框；要接真的模型必須先有後端放金鑰、擋濫用、控成本。依賴最早在 T4 滿足，排在 T5 是資源排序：模型成本是唯一線性成長的成本，要等每位使用者的佣金產值量得出來再放大。,情境不再需要事先寫死，使用者遇到的任何狀況都有出口。,模型只能輸出『動哪幾站、換成哪一個景點』這種結構化決定，實際改動仍交給調整引擎執行，否則會編出不存在的地點與時間。,留存,L,
T5,offline-trip-pack,離線行程包與鎖屏播放,旅途中,出國沒網路時，今天的行程、地圖與語音故事都還在；螢幕鎖著也能控制播放。,未開始,native-app-store | trip-cloud-sync | pro-narration-audio | today-mode,原生 App 與商店上架 | 行程雲端同步 | 真人配音音檔 | 街頭今日模式,要有 App 才有可靠本機儲存，要有雲端行程才有東西可下載，要有音檔才有東西可快取（合成語音無法下載也無法鎖屏播放）。依賴最早在 T4 滿足，排在 T5 是資源排序。,海外行程（東京大阪京都首爾共 26 個景點）才真的能用；沒訊號不再等於整個 App 打不開；也是訂閱制第一個拿得出手的付費理由。,地圖圖磚離線需付費方案（OpenStreetMap 公用服務條款不允許大量快取）；下載容量上限與清除機制；離線時不可用的功能要明確標示。,留存,L,
T5,post-trip-share,旅後行程分享頁,社交協作,回來後把整趟行程變成可貼在社群的公開頁面，別人點進去可一鍵複製。,未開始,trip-cloud-sync | poi-photography,行程雲端同步 | 實景照片,要分享的是一份走完的行程，必須有伺服器上的正本才生得出公開網址；沒有照片的分享頁沒人會點。依賴最早在 T4 滿足，排在 T5 是資源排序。,App 之外的第一個流量入口，也是搜尋引擎唯一抓得到 ResoMap 的地方——獲客鏈上唯一不靠邀請的一節。,UGC 規範與檢舉機制、分享頁的社群預覽與 SEO 設定、使用者公開自己行程的明確同意。,變現前提,M,
T5,b2b-data-products,B2B 資料授權,變現,把旅客實際怎麼走、在哪裡改變主意整理成報告，授權給觀光單位與地方組織。,未開始,server-side-attribution | analytics-pipeline,點擊歸因與同意 | 事件資料管線,沒有真實行為與成交資料就沒有東西可賣；資料要有伺服器端完整紀錄才具統計意義。依賴最早在 T4 滿足（不需要 A／B 分流——授權的是去識別化的移動與改道彙總，隨機分流不是前提），排在 T5 是物理限制：單一城市要先有數千名活躍旅客，否則一個團客就能扭曲整份報告。,一條與旅客端流量脫鉤的收入，客單價高、可簽年約，也讓即時調整累積的改道資料第一次變成資產。,必須為真：單一城市至少數千名活躍旅客、只授權去識別化彙總資料且隱私權政策已明文取得授權、承接標案需公司登記與投標資格。銷售週期常以年為單位，時程不由工程決定。,直接變現,L,
T5,local-merchant-supply,在地商家核銷,變現,真的有店家上架優惠，旅客到店出示畫面完成核銷。,未開始,content-cms | user-accounts | commercial-disclosure | payments,內容資料庫與後台 | 使用者帳號登入 | 商業揭露聲明 | 金流與付款,店家要能自己上架與看成效就必須有後台與商家帳號；核銷要認得出旅客，旅客也必須先有身分；抽成或月費需要收款能力。更重要的是它沒有工程關鍵路徑——時程由地推業務人數決定。,唯一一條不必跟 OTA 分潤、也不必等平台審核的收入；地圖的『商家』篩選第一次有東西可篩。,必須為真：一家一家談成的店家合約（人力密集地推）、一套商家資料結構與上架後台（今天程式裡完全沒有商家這個東西）、店家端核銷方式。務實作法是先做台南跑通再談複製。effort 標 XL 指的是業務與後台合計，不是工程檔期。,直接變現,XL,
T5,revenue-dashboard,營收後台,變現,用真實資料回答：哪個平台會成交、哪類商品值得版位、情境推薦比一般入口好多少。,部分完成,postback-reconciliation | analytics-pipeline,佣金回傳對帳 | 事件資料管線,畫面已在 T0 出貨（我的 → Demo：商業模式），這一階補的是對得起來的佣金資料與多裝置彙總——沒有對帳，上面每個數字都只能掛 Demo 標籤。,版位定價、商品取捨、要不要往站內下單走，全靠這張表決定；也是賣贊助版位與 B2B 報告時唯一拿得出手的證據。,多裝置彙總、時間區間切換與匯出。今天的數字全部來自本機模擬點擊，只存在這台裝置的 localStorage。,變現前提,M,
T5,in-app-booking,站內下單與票券,變現,不再交棒出去，直接在 ResoMap 付款、拿到票券與入場條碼。,未開始,price-inventory-feed | payments | backend-db,真實價格與庫存 | 金流與付款 | 後端服務與資料庫,沒有真實庫存就不知道賣不賣得出去；沒有收款能力就沒有訂單、退款與客服紀錄。而 price-inventory-feed 本身可能拿不到，所以這一項不是進度條上的一格，是一個條件成立才啟動的選項。,分潤率從聯盟等級跳到通路等級，且使用者不再離開 App，漏斗少掉最會流失的一段。,門檻最高：與供應商簽經銷或代訂合約、金流與相關法遵、客服編制、入場條碼必須由供應商核發。在單月訂單量不足以養一個客服之前，交棒制的實際獲利率反而更高——這是選擇題不是進度條。時程由供應商合約決定，不由工程決定。,直接變現,XL,
T5,sponsored-placement,贊助版位,變現,商家或平台可買下地圖與清單的置頂位置，位置上永遠掛『贊助』兩字。,部分完成,commercial-disclosure | content-cms | analytics-pipeline,商業揭露聲明 | 內容資料庫與後台 | 事件資料管線,機制已建好但沒有庫存可跑（唯一一筆贊助資料缺景點對應，付費置頂永遠不出現）；要賣版位必須先有後台排期與可稽核的曝光數字。依賴最早在 T4 滿足，排在 T5 是因為沒有月活躍量體之前沒有人會買。,一條不依賴成交的收入——廣告主付的是曝光，現金流比聯盟分潤快得多。,必須為真：至少一個願意付費的廣告主、一份寫明曝光量與計價方式的刊登合約、同一使用者的曝光上限。在有用戶量之前沒有人會買，強行賣會先毀掉推薦可信度。,直接變現,M,
T5,in-trip-deals,途中情境優惠,變現,你正要走過去的那個景點，門票在哪個平台多少錢，就出現在下一站卡片底下一行。,部分完成,today-mode | background-location | proactivity-rules | real-deep-links | server-side-attribution,街頭今日模式 | 背景定位 | 打擾規則設定 | 真實深連結外導 | 點擊歸因與同意,情境理由已完成，但要在『即將抵達』出現必須先知道人在哪（背景定位 T4）、先有打擾規則決定能不能主動送（T4）、先有帶追蹤碼的連結（T2）與伺服器歸因（T3）。這是順序，不是保守。,MODEL B 從一個分頁，變成整趟旅程都在發生的事——這才是 MODEL B 的完成式。,必須三件事同時為真：聯盟帳號已核准、連結帶得動追蹤碼、使用者已同意定位（含背景）。單筆佣金率仍由平台單方決定，流量規模到達前沒有議價權；期望佣金要用 T3 的算式實測，不能假設途中情境自動會有數倍效果。,直接變現,M,
